# TOV Sequence Results
# e_c[MeV/fm3]  n_c[fm-3]  P_c[MeV/fm3]  R[km]  M[Msun]  M_b[Msun]
1.0000000000e+02 1.0526787061e-01 5.6058915847e-01 4.4295000000e+01 8.6809563609e-02 8.6759017404e-02
1.0415867417e+02 1.0962271496e-01 6.2824189642e-01 4.4295000000e+01 8.7635987652e-02 8.7557702033e-02
1.0849029405e+02 1.1414946445e-01 7.0653880673e-01 4.4295000000e+01 8.8998690015e-02 8.8903121047e-02
1.1300205188e+02 1.1886272635e-01 7.9731741901e-01 4.4295000000e+01 9.1086827528e-02 9.0972295532e-02
1.1770143903e+02 1.2377214896e-01 9.0263579690e-01 4.4295000000e+01 9.4105836590e-02 9.3990008760e-02
1.2259625837e+02 1.2887830959e-01 1.0246850956e+00 4.4295000000e+01 9.8259891277e-02 9.8119878787e-02
1.2769463730e+02 1.3418940646e-01 1.1661291845e+00 3.7122415168e+01 1.0371269529e-01 1.0360055586e-01
1.3300504120e+02 1.3971487395e-01 1.3300617046e+00 3.0234490359e+01 1.1058831937e-01 1.1047954339e-01
1.3853628749e+02 1.4546311459e-01 1.5200135431e+00 2.5442054487e+01 1.1900704247e-01 1.1893257449e-01
1.4429756029e+02 1.5144211425e-01 1.7400231348e+00 2.2029132514e+01 1.2910395141e-01 1.2912103135e-01
1.5029842566e+02 1.5765987801e-01 1.9947158399e+00 1.9537898660e+01 1.4102760702e-01 1.4115288269e-01
1.5654884746e+02 1.6412465820e-01 2.2893910472e+00 1.7682730671e+01 1.5494002663e-01 1.5522975391e-01
1.6305920395e+02 1.7084497081e-01 2.6301151691e+00 1.6283253282e+01 1.7101658467e-01 1.7155295531e-01
1.6984030494e+02 1.7782949190e-01 3.0238199706e+00 1.5215800115e+01 1.8944502430e-01 1.9030325910e-01
1.7690340983e+02 1.8508685228e-01 3.4784038642e+00 1.4397265498e+01 2.1042295880e-01 2.1171212093e-01
1.8426024624e+02 1.9262539978e-01 4.0028344844e+00 1.3766698660e+01 2.3415391530e-01 2.3602738490e-01
1.9192302951e+02 2.0045297129e-01 4.6072494142e+00 1.3280608953e+01 2.6084152441e-01 2.6349402036e-01
1.9990448296e+02 2.0857896598e-01 5.3032443577e+00 1.2901615992e+01 2.9069652912e-01 2.9432303998e-01
2.0821785906e+02 2.1701382457e-01 6.1040651854e+00 1.2627245107e+01 3.2393292356e-01 3.2882449812e-01
2.1687696138e+02 2.2576347405e-01 7.0242494601e+00 1.2417212919e+01 3.6072308597e-01 3.6722461357e-01
2.2589616756e+02 2.3483638349e-01 8.0803483065e+00 1.2264997587e+01 4.0123230791e-01 4.0975498094e-01
2.3529045313e+02 2.4424229309e-01 9.2911346787e+00 1.2158750364e+01 4.4561042565e-01 4.5661827684e-01
2.4507541642e+02 2.5398623245e-01 1.0676970888e+01 1.2089539386e+01 4.9393097796e-01 5.0797666026e-01
2.5526730446e+02 2.6407776668e-01 1.2261162732e+01 1.2051193182e+01 5.4625875835e-01 5.6400792994e-01
2.6588303992e+02 2.7452235663e-01 1.4068914655e+01 1.2035968175e+01 6.0256690150e-01 6.2477320797e-01
2.7694024922e+02 2.8532607916e-01 1.6128106753e+01 1.2039410698e+01 6.6277069587e-01 6.9029287087e-01
2.8845729183e+02 2.9649566177e-01 1.8469431116e+01 1.2057070061e+01 7.2672024232e-01 7.6056820501e-01
3.0045329072e+02 3.0803578518e-01 2.1125906236e+01 1.2084862617e+01 7.9417054873e-01 8.3533767916e-01
3.1294816411e+02 3.1995026555e-01 2.4132982523e+01 1.2119434836e+01 8.6478983520e-01 9.1448131245e-01
3.2596265858e+02 3.3224306483e-01 2.7528662264e+01 1.2158297335e+01 9.3817095489e-01 9.9753896409e-01
3.3951838346e+02 3.4491722437e-01 3.1353006574e+01 1.2198742762e+01 1.0138250146e+00 1.0840830463e+00
3.5363784678e+02 3.5797499143e-01 3.5647775879e+01 1.2238704411e+01 1.0911910162e+00 1.1737021333e+00
3.6834449256e+02 3.7141790240e-01 4.0455928494e+01 1.2276240760e+01 1.1696489095e+00 1.2658069074e+00
3.8366273983e+02 3.8524682636e-01 4.5820960104e+01 1.2309763321e+01 1.2485356096e+00 1.3594824911e+00
3.9961802309e+02 3.9946233185e-01 5.1786286921e+01 1.2339128185e+01 1.3271674224e+00 1.4539196502e+00
4.1623683460e+02 4.1406468433e-01 5.8394403765e+01 1.2362105769e+01 1.4048604710e+00 1.5487568088e+00
4.3354676832e+02 4.2905338673e-01 6.5685524642e+01 1.2378640399e+01 1.4809450126e+00 1.6426160976e+00
4.5157656579e+02 4.4442800981e-01 7.3696977713e+01 1.2388209505e+01 1.5547942386e+00 1.7351241566e+00
4.7035616379e+02 4.6018872836e-01 8.2462901904e+01 1.2390599587e+01 1.6258495237e+00 1.8252143137e+00
4.8991674408e+02 4.7633518331e-01 9.2012155174e+01 1.2385977818e+01 1.6936187208e+00 1.9124071798e+00
5.1029078517e+02 4.9286822616e-01 1.0236964921e+02 1.2374147398e+01 1.7577086296e+00 1.9959396501e+00
5.3151211624e+02 5.0978879285e-01 1.1355460858e+02 1.2355843360e+01 1.8178145275e+00 2.0754494898e+00
5.5361597333e+02 5.2709890123e-01 1.2558216135e+02 1.2331266639e+01 1.8737340781e+00 2.1501965921e+00
5.7663905781e+02 5.4480143978e-01 1.3846370132e+02 1.2300937609e+01 1.9253592773e+00 2.2203136359e+00
